geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
SKT 915	37.9442777777778	37.9442777777778	-121.567888888889	-121.567888888889
SKT 914	37.9715	37.9715	-121.52	-121.52
SKT 912	37.9664166666667	37.9664166666667	-121.368555555556	-121.368555555556
SKT 910	38.005	38.005	-121.453027777778	-121.453027777778
SKT 906	38.0500277777778	38.0500277777778	-121.506472222222	-121.506472222222
SKT 919	38.1051944444444	38.1051944444444	-121.494583333333	-121.494583333333
SKT 920	38.1417777777778	38.1417777777778	-121.504055555556	-121.504055555556
SKT 340	38.0992222222222	38.0992222222222	-122.263277777778	-122.263277777778
SKT 405	38.0399166666667	38.0399166666667	-122.146722222222	-122.146722222222
SKT 418	38.0675	38.0675	-122.095555555556	-122.095555555556
SKT 411	38.0502222222222	38.0502222222222	-122.076527777778	-122.076527777778
SKT 501	38.0733333333333	38.0733333333333	-122.026333333333	-122.026333333333
SKT 602	38.1155555555556	38.1155555555556	-122.042391666667	-122.042391666667
SKT 606	38.1705833333333	38.1705833333333	-122.027916666667	-122.027916666667
SKT 609	38.1670833333333	38.1670833333333	-121.937833333333	-121.937833333333
SKT 610	38.1221944444444	38.1221944444444	-121.889111111111	-121.889111111111
SKT 706	38.0860833333333	38.0860833333333	-121.750444444444	-121.750444444444
SKT 707	38.1146944444444	38.1146944444444	-121.707861111111	-121.707861111111
SKT 504	38.0519444444444	38.0519444444444	-121.986083333333	-121.986083333333
SKT 519	38.07475	38.07475	-121.958083333333	-121.958083333333
SKT 508	38.0471666666667	38.0471666666667	-121.917222222222	-121.917222222222
SKT 520	38.0321666666667	38.0321666666667	-121.863111111111	-121.863111111111
SKT 513	38.0588611111111	38.0588611111111	-121.86775	-121.86775
SKT 801	38.0436944444444	38.0436944444444	-121.844	-121.844
SKT 804	38.0164444444444	38.0164444444444	-121.791305555556	-121.791305555556
SKT 704	38.0665833333333	38.0665833333333	-121.790311111111	-121.790311111111
SKT 713	38.2064722222222	38.2064722222222	-121.661055555556	-121.661055555556
SKT 716	38.2576944444444	38.2576944444444	-121.691916666667	-121.691916666667
SKT 715	38.2257777777778	38.2257777777778	-121.675027777778	-121.675027777778
SKT 711	38.1774166666667	38.1774166666667	-121.66225	-121.66225
SKT 712	38.1914722222222	38.1914722222222	-121.639222222222	-121.639222222222
SKT 921	38.1655	38.1655	-121.493027777778	-121.493027777778
SKT 922	38.2046944444444	38.2046944444444	-121.479055555556	-121.479055555556
SKT 923	38.1356944444444	38.1356944444444	-121.562805555556	-121.562805555556
SKT 799	38.2686111111111	38.2686111111111	-121.673055555556	-121.673055555556
SKT 699	38.1891666666667	38.1891666666667	-121.925	-121.925
SKT 999	38.2847222222222	38.2847222222222	-121.630833333333	-121.630833333333
SKT 719	38.3335	38.3335	-121.6475	-121.6475
SKT 724	38.2369722222222	38.2369722222222	-121.558777777778	-121.558777777778
SKT 899	38.1077777777778	38.1077777777778	-121.780555555556	-121.780555555556
SKT 703	38.0631388888889	38.0631388888889	-121.796083333333	-121.796083333333
SKT 705	38.0796111111111	38.0796111111111	-121.761472222222	-121.761472222222
SKT 708	38.12525	38.12525	-121.697972222222	-121.697972222222
SKT 709	38.1471388888889	38.1471388888889	-121.688972222222	-121.688972222222
SKT 710	38.1631944444444	38.1631944444444	-121.681611111111	-121.681611111111
SKT 507	38.0525	38.0525	-121.9355	-121.9355
SKT 510	38.0480277777778	38.0480277777778	-121.889611111111	-121.889611111111
SKT 511	38.0519166666667	38.0519166666667	-121.88025	-121.88025
SKT 512	38.0556388888889	38.0556388888889	-121.877027777778	-121.877027777778
SKT 515	38.0918888888889	38.0918888888889	-122.016	-122.016
SKT 516	38.0768333333333	38.0768333333333	-121.995805555556	-121.995805555556
SKT 517	38.0704722222222	38.0704722222222	-121.983111111111	-121.983111111111
SKT 518	38.0709166666667	38.0709166666667	-121.965694444444	-121.965694444444
SKT 608	38.0895	38.0895	-121.884027777778	-121.884027777778
SKT 701	38.0656388888889	38.0656388888889	-121.834694444444	-121.834694444444
SKT 807	38.0284166666667	38.0284166666667	-121.732611111111	-121.732611111111
SKT 808	38.0329444444444	38.0329444444444	-121.718916666667	-121.718916666667
SKT 908	38.0396388888889	38.0396388888889	-121.525638888889	-121.525638888889
SKT 909	38.0254722222222	38.0254722222222	-121.468666666667	-121.468666666667
SKT 911	37.9931388888889	37.9931388888889	-121.410388888889	-121.410388888889
SKT 913	37.9733055555556	37.9733055555556	-121.537805555556	-121.537805555556
SKT 328	38.0630555555556	38.0630555555556	-122.347055555556	-122.347055555556
